Input Size,Time
100,176
,
200,178
,
300,241
,
,
400,261
500,2923
,
600,4107
,
,
,
700,5567
,
800,7271
,
,
,
900,9291
,
,
1000,11273
,
,
,
1200,5451
,
,
,
1400,7237
,
1500,4810
,
1600,9554
,
,
1800,12258
,
,
,
2000,14522
,
,
,
2100,9270
,
2400,12201
,
,
,
2500,6693
2700,15230
,
2800,11066
,
3000,18874
,
,
,
3200,14600
,
3500,12424
,
3600,18372
,
,
4000,22741
,
,
,
4200,14676
,
4500,20929
,
4800,18781
,
4900,18349
5000,25740
,
5400,24550
,
5600,21421
,
6000,30011
,
6300,27074
,
6400,24076
7000,33190
,
7200,29350
,
8000,36695
,
8100,32560
9000,40890
,
10000,45334
